ward,lat,lon
Kempegowda Ward,13.116188,77.599713
Jakkuru,13.09625,77.623314
Vidyaranyapura,13.077092,77.569454
Mallasandra,13.054436,77.515126
J P Park,13.036628,77.552424
Hebbala,13.034054,77.593019
Horamavu,13.044561,77.653271
Kacharkanahalli,13.019417,77.634011
Manorayanapalya,13.026743,77.597305
Yeshwanthpura,13.026029,77.553857
Peenya Industrial Area,13.020902,77.508611
Malleswaram,13.014074,77.561673
Lingarajapura,13.009946,77.626972
Basavanapura,13.016847,77.715456
C V Raman Nagar,12.98395,77.665203
S K Garden,13.005328,77.607058
Kadu Malleshwar Ward,13.002385,77.568491
Laggere,13.007687,77.5239
Kottegepalya,12.982456,77.51409
Dattatreya Temple,12.996555,77.574138
Vijnana Nagar,12.978493,77.68177
Dodda Nekkundi,12.968183,77.707824
Jogupalya,12.973725,77.632594
Vasanth Nagar,12.989131,77.585805
Dayananda Nagar,12.991097,77.564195
Vrisabhavathi Nagar,12.989772,77.525879
Dr. Raj Kumar Ward,12.979654,77.548475
Sampangiram Nagar,12.976795,77.595372
Agaram,12.944263,77.639047
Sudham Nagara,12.959335,77.586193
Kempapura Agrahara,12.972313,77.555479
Maruthi Mandir ward,12.966711,77.528464
Ullalu,12.946716,77.484618
Bapuji Nagar,12.957976,77.543221
Chalavadipalya,12.964579,77.564448
Sunkenahalli,12.948691,77.567874
Lakkasandra,12.941109,77.604804
Bellanduru,12.922874,77.680209
Basavanagudi,12.937375,77.568733
Deepanjali Nagar,12.94454,77.536233
Girinagar,12.937624,77.545575
Karisandra,12.924352,77.574017
Jayanagar East,12.921106,77.59864
HSR Layout,12.913718,77.646426
Sarakki,12.90794,77.58295
Padmanabha Nagar,12.913501,77.556057
Jaraganahalli,12.900421,77.577488
Mangammanapalya,12.896167,77.641823
Gottigere,12.860591,77.582132
Hemmigepura,12.891903,77.505013
