ward,demand_kwh
Kempegowda Ward,1.471651382919767
Jakkuru,0.5
Vidyaranyapura,1.6714556799258944
Mallasandra,19.361638856354595
J P Park,13.423293358895467
Hebbala,6.607006215005812
Horamavu,1.9103865247165888
Kacharkanahalli,7.019470256496726
Manorayanapalya,19.32774130867444
Yeshwanthpura,32.88310687407383
Peenya Industrial Area,4.913939729464413
Malleswaram,18.36671369341622
Lingarajapura,33.003393901829
Basavanapura,3.463150622354605
C V Raman Nagar,6.138878898236173
S K Garden,16.324781324190766
Kadu Malleshwar Ward,7.3829138180480065
Laggere,6.571256512980227
Kottegepalya,3.6373585066675154
Dattatreya Temple,13.911133566673566
Vijnana Nagar,3.9185951702466943
Dodda Nekkundi,1.277848530559066
Jogupalya,23.94791503038922
Vasanth Nagar,8.781753920644233
Dayananda Nagar,83.47680373249463
Vrisabhavathi Nagar,23.581437513574365
Dr. Raj Kumar Ward,18.61152833899625
Sampangiram Nagar,2.876685827183412
Agaram,2.182073923106831
Sudham Nagara,22.26416995040573
Kempapura Agrahara,67.45476093687587
Maruthi Mandir ward,24.844829460219987
Ullalu,2.1450224501981445
Bapuji Nagar,50.45558328048624
Chalavadipalya,34.561238561750535
Sunkenahalli,23.93909276033236
Lakkasandra,17.676937466632825
Bellanduru,0.5
Basavanagudi,12.393271934207522
Deepanjali Nagar,15.141299307505365
Girinagar,18.21656016252269
Karisandra,10.857647207806526
Jayanagar East,20.626666530514395
HSR Layout,1.6226651406055126
Sarakki,11.700083351548978
Padmanabha Nagar,7.693303825491266
Jaraganahalli,19.64311304785087
Mangammanapalya,5.346315426483117
Gottigere,2.8107596671019093
Hemmigepura,0.5
