ward,morning_kwh,evening_kwh
Kempegowda Ward,8.929866966691938e-27,1.2424543239282853
Jakkuru,4.803409176219748e-27,0.3205332026710744
Vidyaranyapura,1.1692519906221053e-26,1.106993697243155
Mallasandra,4.9937351413020037e-26,18.65418042651616
J P Park,4.8492817446955145e-26,14.890790775150315
Hebbala,1.057643895502907e-25,7.586458083907759
Horamavu,2.4566369979951937e-27,1.8142296422410797
Kacharkanahalli,8.689990876659321e-26,7.257336385141053
Manorayanapalya,2.165227122643833e-25,19.340378525763615
Yeshwanthpura,1.6485839938429067e-25,33.52473536286078
Peenya Industrial Area,1.3949856312470224e-26,4.252488688767722
Malleswaram,5.476746807679739e-26,17.7816870048851
Lingarajapura,9.545749305689006e-26,32.95372802259314
Basavanapura,1.2172274817573352e-26,2.6152809538106174
C V Raman Nagar,3.1073897173758006e-26,5.7872354446379575
S K Garden,1.0250180868918125e-25,16.97110973303842
Kadu Malleshwar Ward,1.4843974413279235e-25,7.105552945199583
Laggere,8.066089115164751e-26,7.292492986515687
Kottegepalya,2.1241244634990744e-26,2.976620271409864
Dattatreya Temple,2.844563754631283e-25,13.94868601360152
Vijnana Nagar,1.0575362500403296e-26,4.057641888851813
Dodda Nekkundi,3.9996833740731004e-27,1.7900188660176692
Jogupalya,1.6049767015609747e-25,23.028364083178086
Vasanth Nagar,1.3827676415517838e-26,8.897985353572736
Dayananda Nagar,1.2656288070370198e-25,83.79897627760803
Vrisabhavathi Nagar,1.312578265951831e-25,23.84629951018175
Dr. Raj Kumar Ward,8.918217845061681e-26,18.211144809785154
Sampangiram Nagar,4.152194846623088e-26,2.6018121481443477
Agaram,1.3589175592036188e-26,1.8716315258381608
Sudham Nagara,1.205422273361947e-25,21.940122125712925
Kempapura Agrahara,3.470887064791666e-25,65.84389182539958
Maruthi Mandir ward,7.145560511882369e-26,25.150519993091976
Ullalu,3.5095977816138705e-27,2.5303127236793097
Bapuji Nagar,1.2497920259438892e-25,51.06767340734161
Chalavadipalya,2.8955320060629045e-25,34.097921335924696
Sunkenahalli,5.780610313997626e-26,23.089921032305075
Lakkasandra,6.87987705772927e-26,17.76264458287029
Bellanduru,1.1705009659843623e-27,0.8693440061640643
Basavanagudi,1.5976537404241909e-25,13.013416594239187
Deepanjali Nagar,3.219951026648542e-26,14.65194717243417
Girinagar,5.287986067250104e-26,17.65751151890788
Karisandra,1.4868346241140496e-25,10.449106403416613
Jayanagar East,1.1487673385712964e-25,21.127238627634043
HSR Layout,1.8673471741829414e-26,1.448041872026851
Sarakki,8.652047285269308e-26,11.612316547329637
Padmanabha Nagar,7.267088788487678e-26,7.528814249634023
Jaraganahalli,3.4498836263255984e-26,18.987656146034848
Mangammanapalya,3.035824036792802e-26,5.178135020501137
Gottigere,1.2446089637111316e-26,2.3001056791767596
Hemmigepura,4.57003687709689e-27,0.32999174976606394
