Metric,Value,gpu_available,n_runs
CPU-PSO Mean,0.1370857403944567,True,10
GPU-PSO Mean,0.13538581897587185,True,10
GA Mean,0.1326372323775852,True,10
CPU-PSO Std,0.003798374879781071,True,10
GPU-PSO Std,0.004270188541638186,True,10
GA Std,0.0030014674654654577,True,10
CPU-PSO Time,0.9517402887344361,True,10
GPU-PSO Time,0.5905033588409424,True,10
GA Time,1.2698069572448731,True,10
CPU-PSO Time_per_eval_ms,0.1866157428891051,True,10
GA Time_per_eval_ms,0.24898175632252412,True,10
"Total_Fitness_Evaluations (all three, identical)",5100.0,True,10
Speedup (PSO CPU/GPU),1.6117440730608887,True,10
Fitness_paired_t_pvalue (CPU-PSO vs GPU-PSO),0.44152564640643477,True,10
Time_paired_t_pvalue (CPU-PSO vs GPU-PSO),0.2590038730597356,True,10
Fitness_paired_t_pvalue (CPU-PSO vs GA),0.03281188528295641,True,10
Fitness_paired_t_pvalue (GPU-PSO vs GA),0.10314525203777858,True,10
